naics_code,industry_description,firm_size,number_of_firms
62422,Community Housing Services,100-499 employees,563
62422,Community Housing Services,500+ employees,208
624221,Temporary Shelters,1-4 employees,959
624221,Temporary Shelters,4-9 employees,504
624221,Temporary Shelters,10-19 employees,651
624221,Temporary Shelters,20-99 employees,1055
624221,Temporary Shelters,100-499 employees,314
624221,Temporary Shelters,500+ employees,134
624229,Other Community Housing Services,1-4 employees,1351
624229,Other Community Housing Services,4-9 employees,601
624229,Other Community Housing Services,10-19 employees,561
624229,Other Community Housing Services,20-99 employees,644
624229,Other Community Housing Services,100-499 employees,348
624229,Other Community Housing Services,500+ employees,133
62423,Emergency and Other Relief Services,1-4 employees,452
62423,Emergency and Other Relief Services,4-9 employees,103
62423,Emergency and Other Relief Services,10-19 employees,69
62423,Emergency and Other Relief Services,20-99 employees,74
62423,Emergency and Other Relief Services,100-499 employees,43
62423,Emergency and Other Relief Services,500+ employees,34
624230,Emergency and Other Relief Services,1-4 employees,452
624230,Emergency and Other Relief Services,4-9 employees,103
624230,Emergency and Other Relief Services,10-19 employees,69
624230,Emergency and Other Relief Services,20-99 employees,74
624230,Emergency and Other Relief Services,100-499 employees,43
624230,Emergency and Other Relief Services,500+ employees,34
6243,Vocational Rehabilitation Services,1-4 employees,1168
6243,Vocational Rehabilitation Services,4-9 employees,380
6243,Vocational Rehabilitation Services,10-19 employees,363
6243,Vocational Rehabilitation Services,20-99 employees,937
6243,Vocational Rehabilitation Services,100-499 employees,787
6243,Vocational Rehabilitation Services,500+ employees,314
62431,Vocational Rehabilitation Services,1-4 employees,1168
62431,Vocational Rehabilitation Services,4-9 employees,380
62431,Vocational Rehabilitation Services,10-19 employees,363
62431,Vocational Rehabilitation Services,20-99 employees,937
62431,Vocational Rehabilitation Services,100-499 employees,787
62431,Vocational Rehabilitation Services,500+ employees,314
624310,Vocational Rehabilitation Services,1-4 employees,1168
624310,Vocational Rehabilitation Services,4-9 employees,380
624310,Vocational Rehabilitation Services,10-19 employees,363
624310,Vocational Rehabilitation Services,20-99 employees,937
624310,Vocational Rehabilitation Services,100-499 employees,787
624310,Vocational Rehabilitation Services,500+ employees,314
6244,Child Day Care Services,1-4 employees,25672
6244,Child Day Care Services,4-9 employees,11797
6244,Child Day Care Services,10-19 employees,12868
6244,Child Day Care Services,20-99 employees,9791
6244,Child Day Care Services,100-499 employees,1066
6244,Child Day Care Services,500+ employees,283
62441,Child Day Care Services,1-4 employees,25672
62441,Child Day Care Services,4-9 employees,11797
62441,Child Day Care Services,10-19 employees,12868
62441,Child Day Care Services,20-99 employees,9791
62441,Child Day Care Services,100-499 employees,1066
62441,Child Day Care Services,500+ employees,283
624410,Child Day Care Services,1-4 employees,25672
624410,Child Day Care Services,4-9 employees,11797
624410,Child Day Care Services,10-19 employees,12868
624410,Child Day Care Services,20-99 employees,9791
624410,Child Day Care Services,100-499 employees,1066
624410,Child Day Care Services,500+ employees,283
71,"Arts, Entertainment, and Recreation",1-4 employees,96311
71,"Arts, Entertainment, and Recreation",4-9 employees,18344
71,"Arts, Entertainment, and Recreation",10-19 employees,13635
71,"Arts, Entertainment, and Recreation",20-99 employees,11688
71,"Arts, Entertainment, and Recreation",100-499 employees,2093
71,"Arts, Entertainment, and Recreation",500+ employees,642
711,"Performing Arts, Spectator Sports, and Related Industries",1-4 employees,54282
711,"Performing Arts, Spectator Sports, and Related Industries",4-9 employees,4097
711,"Performing Arts, Spectator Sports, and Related Industries",10-19 employees,2103
711,"Performing Arts, Spectator Sports, and Related Industries",20-99 employees,1504
711,"Performing Arts, Spectator Sports, and Related Industries",100-499 employees,380
711,"Performing Arts, Spectator Sports, and Related Industries",500+ employees,154
7111,Performing Arts Companies,1-4 employees,7078
7111,Performing Arts Companies,4-9 employees,1155
7111,Performing Arts Companies,10-19 employees,624
7111,Performing Arts Companies,20-99 employees,479
7111,Performing Arts Companies,100-499 employees,114
7111,Performing Arts Companies,500+ employees,18
71111,Theater Companies and Dinner Theaters,1-4 employees,2066
71111,Theater Companies and Dinner Theaters,4-9 employees,464
71111,Theater Companies and Dinner Theaters,10-19 employees,311
71111,Theater Companies and Dinner Theaters,20-99 employees,270
71111,Theater Companies and Dinner Theaters,100-499 employees,48
71111,Theater Companies and Dinner Theaters,500+ employees,13
711110,Theater Companies and Dinner Theaters,1-4 employees,2066
711110,Theater Companies and Dinner Theaters,4-9 employees,464
711110,Theater Companies and Dinner Theaters,10-19 employees,311
711110,Theater Companies and Dinner Theaters,20-99 employees,270
711110,Theater Companies and Dinner Theaters,100-499 employees,48
711110,Theater Companies and Dinner Theaters,500+ employees,13
71112,Dance Companies,1-4 employees,448
71112,Dance Companies,4-9 employees,132
71112,Dance Companies,10-19 employees,80
71112,Dance Companies,20-99 employees,58
71112,Dance Companies,100-499 employees,21
711120,Dance Companies,1-4 employees,448
711120,Dance Companies,4-9 employees,132
711120,Dance Companies,10-19 employees,80
711120,Dance Companies,20-99 employees,58
711120,Dance Companies,100-499 employees,21
71113,Musical Groups and Artists,1-4 employees,4288
71113,Musical Groups and Artists,4-9 employees,527
71113,Musical Groups and Artists,10-19 employees,213
71113,Musical Groups and Artists,20-99 employees,143
71113,Musical Groups and Artists,100-499 employees,45
71113,Musical Groups and Artists,500+ employees,3
711130,Musical Groups and Artists,1-4 employees,4288
711130,Musical Groups and Artists,4-9 employees,527
711130,Musical Groups and Artists,10-19 employees,213
711130,Musical Groups and Artists,20-99 employees,143
711130,Musical Groups and Artists,100-499 employees,45
711130,Musical Groups and Artists,500+ employees,3
71119,Other Performing Arts Companies,1-4 employees,277
71119,Other Performing Arts Companies,4-9 employees,32
71119,Other Performing Arts Companies,10-19 employees,20
71119,Other Performing Arts Companies,20-99 employees,8
711190,Other Performing Arts Companies,1-4 employees,277
711190,Other Performing Arts Companies,4-9 employees,32
711190,Other Performing Arts Companies,10-19 employees,20
711190,Other Performing Arts Companies,20-99 employees,8
7112,Spectator Sports,1-4 employees,3180
7112,Spectator Sports,4-9 employees,463
7112,Spectator Sports,10-19 employees,356
7112,Spectator Sports,20-99 employees,307
7112,Spectator Sports,100-499 employees,129
7112,Spectator Sports,500+ employees,85
71121,Spectator Sports,1-4 employees,3180
71121,Spectator Sports,4-9 employees,463
71121,Spectator Sports,10-19 employees,356
71121,Spectator Sports,20-99 employees,307
71121,Spectator Sports,100-499 employees,129
71121,Spectator Sports,500+ employees,85
711211,Sports Teams and Clubs,1-4 employees,571
711211,Sports Teams and Clubs,4-9 employees,145
711211,Sports Teams and Clubs,10-19 employees,128
711211,Sports Teams and Clubs,20-99 employees,129
711211,Sports Teams and Clubs,100-499 employees,82
711211,Sports Teams and Clubs,500+ employees,57
711212,Racetracks,1-4 employees,309
711212,Racetracks,4-9 employees,46
711212,Racetracks,10-19 employees,40
711212,Racetracks,20-99 employees,47
711212,Racetracks,100-499 employees,31
711212,Racetracks,500+ employees,24
711219,Other Spectator Sports,1-4 employees,2301
711219,Other Spectator Sports,4-9 employees,272
711219,Other Spectator Sports,10-19 employees,188
711219,Other Spectator Sports,20-99 employees,132
711219,Other Spectator Sports,100-499 employees,16
711219,Other Spectator Sports,500+ employees,7
7113,"Promoters of Performing Arts, Sports, and Similar Events",1-4 employees,5874
7113,"Promoters of Performing Arts, Sports, and Similar Events",4-9 employees,963
7113,"Promoters of Performing Arts, Sports, and Similar Events",10-19 employees,548
7113,"Promoters of Performing Arts, Sports, and Similar Events",20-99 employees,424
7113,"Promoters of Performing Arts, Sports, and Similar Events",100-499 employees,122
7113,"Promoters of Performing Arts, Sports, and Similar Events",500+ employees,67
71131,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",1-4 employees,2207
71131,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",4-9 employees,490
71131,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",10-19 employees,345
71131,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",20-99 employees,296
71131,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",100-499 employees,96
71131,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",500+ employees,48
711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",1-4 employees,2207
711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",4-9 employees,490
711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",10-19 employees,345
711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",20-99 employees,296
711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",100-499 employees,96
711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",500+ employees,48
71132,"Promoters of Performing Arts, Sports, and Similar Events without Facilities",1-4 employees,3668
71132,"Promoters of Performing Arts, Sports, and Similar Events without Facilities",4-9 employees,473
71132,"Promoters of Performing Arts, Sports, and Similar Events without Facilities",10-19 employees,203
71132,"Promoters of Performing Arts, Sports, and Similar Events without Facilities",20-99 employees,128
71132,"Promoters of Performing Arts, Sports, and Similar Events without Facilities",100-499 employees,28
71132,"Promoters of Performing Arts, Sports, and Similar Events without Facilities",500+ employees,23
711320,"Promoters of Performing Arts, Sports, and Similar Events without Facilities",1-4 employees,3668
711320,"Promoters of Performing Arts, Sports, and Similar Events without Facilities",4-9 employees,473
711320,"Promoters of Performing Arts, Sports, and Similar Events without Facilities",10-19 employees,203
711320,"Promoters of Performing Arts, Sports, and Similar Events without Facilities",20-99 employees,128
711320,"Promoters of Performing Arts, Sports, and Similar Events without Facilities",100-499 employees,28
711320,"Promoters of Performing Arts, Sports, and Similar Events without Facilities",500+ employees,23
7114,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",1-4 employees,3922
7114,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",4-9 employees,352
7114,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",10-19 employees,140
7114,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",20-99 employees,102
7114,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",100-499 employees,17
7114,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",500+ employees,11
71141,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",1-4 employees,3922
71141,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",4-9 employees,352
71141,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",10-19 employees,140
71141,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",20-99 employees,102
71141,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",100-499 employees,17
71141,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",500+ employees,11
711410,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",1-4 employees,3922
711410,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",4-9 employees,352
711410,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",10-19 employees,140
711410,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",20-99 employees,102
711410,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",100-499 employees,17
711410,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",500+ employees,11
7115,"Independent Artists, Writers, and Performers",1-4 employees,34231
7115,"Independent Artists, Writers, and Performers",4-9 employees,1166
7115,"Independent Artists, Writers, and Performers",10-19 employees,440
7115,"Independent Artists, Writers, and Performers",20-99 employees,199
7115,"Independent Artists, Writers, and Performers",100-499 employees,18
7115,"Independent Artists, Writers, and Performers",500+ employees,5
71151,"Independent Artists, Writers, and Performers",1-4 employees,34231
71151,"Independent Artists, Writers, and Performers",4-9 employees,1166
71151,"Independent Artists, Writers, and Performers",10-19 employees,440
71151,"Independent Artists, Writers, and Performers",20-99 employees,199
71151,"Independent Artists, Writers, and Performers",100-499 employees,18
71151,"Independent Artists, Writers, and Performers",500+ employees,5
711510,"Independent Artists, Writers, and Performers",1-4 employees,34231
711510,"Independent Artists, Writers, and Performers",4-9 employees,1166
711510,"Independent Artists, Writers, and Performers",10-19 employees,440
711510,"Independent Artists, Writers, and Performers",20-99 employees,199
711510,"Independent Artists, Writers, and Performers",100-499 employees,18
711510,"Independent Artists, Writers, and Performers",500+ employees,5
712,"Museums, Historical Sites, and Similar Institutions",1-4 employees,4276
712,"Museums, Historical Sites, and Similar Institutions",4-9 employees,1222
712,"Museums, Historical Sites, and Similar Institutions",10-19 employees,806
712,"Museums, Historical Sites, and Similar Institutions",20-99 employees,830
712,"Museums, Historical Sites, and Similar Institutions",100-499 employees,233
712,"Museums, Historical Sites, and Similar Institutions",500+ employees,38
7121,"Museums, Historical Sites, and Similar Institutions",1-4 employees,4276
7121,"Museums, Historical Sites, and Similar Institutions",4-9 employees,1222
7121,"Museums, Historical Sites, and Similar Institutions",10-19 employees,806
7121,"Museums, Historical Sites, and Similar Institutions",20-99 employees,830
7121,"Museums, Historical Sites, and Similar Institutions",100-499 employees,233
7121,"Museums, Historical Sites, and Similar Institutions",500+ employees,38
71211,Museums,1-4 employees,3096
71211,Museums,4-9 employees,865
71211,Museums,10-19 employees,514
71211,Museums,20-99 employees,515
71211,Museums,100-499 employees,138
71211,Museums,500+ employees,22
712110,Museums,1-4 employees,3096
712110,Museums,4-9 employees,865
712110,Museums,10-19 employees,514
712110,Museums,20-99 employees,515
712110,Museums,100-499 employees,138
712110,Museums,500+ employees,22
71212,Historical Sites,1-4 employees,631
71212,Historical Sites,4-9 employees,161
71212,Historical Sites,10-19 employees,98
71212,Historical Sites,20-99 employees,95
71212,Historical Sites,100-499 employees,15
712120,Historical Sites,1-4 employees,631
712120,Historical Sites,4-9 employees,161
712120,Historical Sites,10-19 employees,98
712120,Historical Sites,20-99 employees,95
712120,Historical Sites,100-499 employees,15
71213,Zoos and Botanical Gardens,1-4 employees,227
71213,Zoos and Botanical Gardens,4-9 employees,89
71213,Zoos and Botanical Gardens,10-19 employees,102
71213,Zoos and Botanical Gardens,20-99 employees,167
71213,Zoos and Botanical Gardens,100-499 employees,80
71213,Zoos and Botanical Gardens,500+ employees,13
712130,Zoos and Botanical Gardens,1-4 employees,227
712130,Zoos and Botanical Gardens,4-9 employees,89
712130,Zoos and Botanical Gardens,10-19 employees,102
712130,Zoos and Botanical Gardens,20-99 employees,167
712130,Zoos and Botanical Gardens,100-499 employees,80
712130,Zoos and Botanical Gardens,500+ employees,13
71219,Nature Parks and Other Similar Institutions,1-4 employees,325
71219,Nature Parks and Other Similar Institutions,4-9 employees,112
71219,Nature Parks and Other Similar Institutions,10-19 employees,100
71219,Nature Parks and Other Similar Institutions,20-99 employees,75
71219,Nature Parks and Other Similar Institutions,100-499 employees,10
71219,Nature Parks and Other Similar Institutions,500+ employees,5
712190,Nature Parks and Other Similar Institutions,1-4 employees,325
712190,Nature Parks and Other Similar Institutions,4-9 employees,112
712190,Nature Parks and Other Similar Institutions,10-19 employees,100
712190,Nature Parks and Other Similar Institutions,20-99 employees,75
712190,Nature Parks and Other Similar Institutions,100-499 employees,10
712190,Nature Parks and Other Similar Institutions,500+ employees,5
713,"Amusement, Gambling, and Recreation Industries",1-4 employees,37754
713,"Amusement, Gambling, and Recreation Industries",4-9 employees,13030
713,"Amusement, Gambling, and Recreation Industries",10-19 employees,10732
713,"Amusement, Gambling, and Recreation Industries",20-99 employees,9377
713,"Amusement, Gambling, and Recreation Industries",100-499 employees,1498
713,"Amusement, Gambling, and Recreation Industries",500+ employees,496
7131,Amusement Parks and Arcades,1-4 employees,1731
7131,Amusement Parks and Arcades,4-9 employees,547
7131,Amusement Parks and Arcades,10-19 employees,427
7131,Amusement Parks and Arcades,20-99 employees,484
7131,Amusement Parks and Arcades,100-499 employees,78
7131,Amusement Parks and Arcades,500+ employees,26
71311,Amusement and Theme Parks,1-4 employees,222
71311,Amusement and Theme Parks,4-9 employees,66
71311,Amusement and Theme Parks,10-19 employees,61
71311,Amusement and Theme Parks,20-99 employees,138
71311,Amusement and Theme Parks,100-499 employees,33
71311,Amusement and Theme Parks,500+ employees,16
713110,Amusement and Theme Parks,1-4 employees,222
713110,Amusement and Theme Parks,4-9 employees,66
713110,Amusement and Theme Parks,10-19 employees,61
713110,Amusement and Theme Parks,20-99 employees,138
713110,Amusement and Theme Parks,100-499 employees,33
713110,Amusement and Theme Parks,500+ employees,16
71312,Amusement Arcades,1-4 employees,1509
71312,Amusement Arcades,4-9 employees,481
71312,Amusement Arcades,10-19 employees,366
71312,Amusement Arcades,20-99 employees,347
71312,Amusement Arcades,100-499 employees,48
71312,Amusement Arcades,500+ employees,13
713120,Amusement Arcades,1-4 employees,1509
713120,Amusement Arcades,4-9 employees,481
713120,Amusement Arcades,10-19 employees,366
713120,Amusement Arcades,20-99 employees,347
713120,Amusement Arcades,100-499 employees,48
713120,Amusement Arcades,500+ employees,13
7132,Gambling Industries,1-4 employees,752
7132,Gambling Industries,4-9 employees,481
7132,Gambling Industries,10-19 employees,327
7132,Gambling Industries,20-99 employees,254
7132,Gambling Industries,100-499 employees,157
7132,Gambling Industries,500+ employees,85
71321,Casinos (except Casino Hotels),1-4 employees,32
71321,Casinos (except Casino Hotels),4-9 employees,22
71321,Casinos (except Casino Hotels),10-19 employees,9
71321,Casinos (except Casino Hotels),20-99 employees,35
71321,Casinos (except Casino Hotels),100-499 employees,76
71321,Casinos (except Casino Hotels),500+ employees,59
713210,Casinos (except Casino Hotels),1-4 employees,32
713210,Casinos (except Casino Hotels),4-9 employees,22
713210,Casinos (except Casino Hotels),10-19 employees,9
713210,Casinos (except Casino Hotels),20-99 employees,35
713210,Casinos (except Casino Hotels),100-499 employees,76
713210,Casinos (except Casino Hotels),500+ employees,59
71329,Other Gambling Industries,1-4 employees,720
71329,Other Gambling Industries,4-9 employees,459
71329,Other Gambling Industries,10-19 employees,318
71329,Other Gambling Industries,20-99 employees,220
71329,Other Gambling Industries,100-499 employees,87
71329,Other Gambling Industries,500+ employees,43
713290,Other Gambling Industries,1-4 employees,720
713290,Other Gambling Industries,4-9 employees,459
713290,Other Gambling Industries,10-19 employees,318
713290,Other Gambling Industries,20-99 employees,220
713290,Other Gambling Industries,100-499 employees,87
713290,Other Gambling Industries,500+ employees,43
7139,Other Amusement and Recreation Industries,1-4 employees,35273
7139,Other Amusement and Recreation Industries,4-9 employees,12008
7139,Other Amusement and Recreation Industries,10-19 employees,9982
7139,Other Amusement and Recreation Industries,20-99 employees,8652
7139,Other Amusement and Recreation Industries,100-499 employees,1278
7139,Other Amusement and Recreation Industries,500+ employees,395
71391,Golf Courses and Country Clubs,1-4 employees,3093
71391,Golf Courses and Country Clubs,4-9 employees,1268
71391,Golf Courses and Country Clubs,10-19 employees,1439
71391,Golf Courses and Country Clubs,20-99 employees,2734
71391,Golf Courses and Country Clubs,100-499 employees,489
71391,Golf Courses and Country Clubs,500+ employees,89
713910,Golf Courses and Country Clubs,1-4 employees,3093
713910,Golf Courses and Country Clubs,4-9 employees,1268
713910,Golf Courses and Country Clubs,10-19 employees,1439
713910,Golf Courses and Country Clubs,20-99 employees,2734
713910,Golf Courses and Country Clubs,100-499 employees,489
713910,Golf Courses and Country Clubs,500+ employees,89
71392,Skiing Facilities,1-4 employees,54
71392,Skiing Facilities,4-9 employees,22
71392,Skiing Facilities,10-19 employees,32
71392,Skiing Facilities,20-99 employees,74
71392,Skiing Facilities,100-499 employees,97
71392,Skiing Facilities,500+ employees,22
713920,Skiing Facilities,1-4 employees,54
713920,Skiing Facilities,4-9 employees,22
713920,Skiing Facilities,10-19 employees,32
713920,Skiing Facilities,20-99 employees,74
713920,Skiing Facilities,100-499 employees,97
713920,Skiing Facilities,500+ employees,22
71393,Marinas,1-4 employees,1985
71393,Marinas,4-9 employees,738
71393,Marinas,10-19 employees,455
71393,Marinas,20-99 employees,283
71393,Marinas,100-499 employees,37
71393,Marinas,500+ employees,20
713930,Marinas,1-4 employees,1985
713930,Marinas,4-9 employees,738
713930,Marinas,10-19 employees,455
713930,Marinas,20-99 employees,283
713930,Marinas,100-499 employees,37
713930,Marinas,500+ employees,20
71394,Fitness and Recreational Sports Centers,1-4 employees,16367
71394,Fitness and Recreational Sports Centers,4-9 employees,6349
71394,Fitness and Recreational Sports Centers,10-19 employees,5441
71394,Fitness and Recreational Sports Centers,20-99 employees,3499
71394,Fitness and Recreational Sports Centers,100-499 employees,551
71394,Fitness and Recreational Sports Centers,500+ employees,240
713940,Fitness and Recreational Sports Centers,1-4 employees,16367
713940,Fitness and Recreational Sports Centers,4-9 employees,6349
713940,Fitness and Recreational Sports Centers,10-19 employees,5441
713940,Fitness and Recreational Sports Centers,20-99 employees,3499
713940,Fitness and Recreational Sports Centers,100-499 employees,551
713940,Fitness and Recreational Sports Centers,500+ employees,240
71395,Bowling Centers,1-4 employees,804
71395,Bowling Centers,4-9 employees,527
71395,Bowling Centers,10-19 employees,725
71395,Bowling Centers,20-99 employees,665
71395,Bowling Centers,100-499 employees,35
71395,Bowling Centers,500+ employees,11
713950,Bowling Centers,1-4 employees,804
713950,Bowling Centers,4-9 employees,527
713950,Bowling Centers,10-19 employees,725
713950,Bowling Centers,20-99 employees,665
713950,Bowling Centers,100-499 employees,35
713950,Bowling Centers,500+ employees,11
71399,All Other Amusement and Recreation Industries,1-4 employees,12972
71399,All Other Amusement and Recreation Industries,4-9 employees,3106
71399,All Other Amusement and Recreation Industries,10-19 employees,1897
71399,All Other Amusement and Recreation Industries,20-99 employees,1428
71399,All Other Amusement and Recreation Industries,100-499 employees,149
71399,All Other Amusement and Recreation Industries,500+ employees,62
713990,All Other Amusement and Recreation Industries,1-4 employees,12972
713990,All Other Amusement and Recreation Industries,4-9 employees,3106
713990,All Other Amusement and Recreation Industries,10-19 employees,1897
713990,All Other Amusement and Recreation Industries,20-99 employees,1428
713990,All Other Amusement and Recreation Industries,100-499 employees,149
713990,All Other Amusement and Recreation Industries,500+ employees,62
72,Accommodation and Food Services,1-4 employees,224765
72,Accommodation and Food Services,4-9 employees,113891
72,Accommodation and Food Services,10-19 employees,112233
72,Accommodation and Food Services,20-99 employees,96422
72,Accommodation and Food Services,100-499 employees,7969
72,Accommodation and Food Services,500+ employees,2060
721,Accommodation,1-4 employees,25315
721,Accommodation,4-9 employees,10000
721,Accommodation,10-19 employees,13235
721,Accommodation,20-99 employees,7753
721,Accommodation,100-499 employees,1024
721,Accommodation,500+ employees,518
7211,Traveler Accommodation,1-4 employees,19476
7211,Traveler Accommodation,4-9 employees,8591
7211,Traveler Accommodation,10-19 employees,12483
7211,Traveler Accommodation,20-99 employees,7303
7211,Traveler Accommodation,100-499 employees,914
7211,Traveler Accommodation,500+ employees,449
72111,Hotels (except Casino Hotels) and Motels,1-4 employees,16231
72111,Hotels (except Casino Hotels) and Motels,4-9 employees,8044
72111,Hotels (except Casino Hotels) and Motels,10-19 employees,12189
72111,Hotels (except Casino Hotels) and Motels,20-99 employees,7127
72111,Hotels (except Casino Hotels) and Motels,100-499 employees,815
72111,Hotels (except Casino Hotels) and Motels,500+ employees,333
721110,Hotels (except Casino Hotels) and Motels,1-4 employees,16231
721110,Hotels (except Casino Hotels) and Motels,4-9 employees,8044
721110,Hotels (except Casino Hotels) and Motels,10-19 employees,12189
721110,Hotels (except Casino Hotels) and Motels,20-99 employees,7127
721110,Hotels (except Casino Hotels) and Motels,100-499 employees,815
721110,Hotels (except Casino Hotels) and Motels,500+ employees,333
72112,Casino Hotels,1-4 employees,32
72112,Casino Hotels,4-9 employees,7
72112,Casino Hotels,10-19 employees,5
72112,Casino Hotels,20-99 employees,29
72112,Casino Hotels,100-499 employees,94
72112,Casino Hotels,500+ employees,127
721120,Casino Hotels,1-4 employees,32
721120,Casino Hotels,4-9 employees,7
721120,Casino Hotels,10-19 employees,5
721120,Casino Hotels,20-99 employees,29
721120,Casino Hotels,100-499 employees,94
721120,Casino Hotels,500+ employees,127
72119,Other Traveler Accommodation,1-4 employees,3217
72119,Other Traveler Accommodation,4-9 employees,540
72119,Other Traveler Accommodation,10-19 employees,291
72119,Other Traveler Accommodation,20-99 employees,157
72119,Other Traveler Accommodation,100-499 employees,21
72119,Other Traveler Accommodation,500+ employees,10
721191,Bed-and-Breakfast Inns,1-4 employees,1889
721191,Bed-and-Breakfast Inns,4-9 employees,360
721191,Bed-and-Breakfast Inns,10-19 employees,158
721191,Bed-and-Breakfast Inns,20-99 employees,94
721191,Bed-and-Breakfast Inns,100-499 employees,12
721191,Bed-and-Breakfast Inns,500+ employees,3
721199,All Other Traveler Accommodation,1-4 employees,1328
721199,All Other Traveler Accommodation,4-9 employees,180
721199,All Other Traveler Accommodation,10-19 employees,133
721199,All Other Traveler Accommodation,20-99 employees,64
721199,All Other Traveler Accommodation,100-499 employees,9
721199,All Other Traveler Accommodation,500+ employees,7
7212,RV (Recreational Vehicle) Parks and Recreational Camps,1-4 employees,4742
7212,RV (Recreational Vehicle) Parks and Recreational Camps,4-9 employees,1195
7212,RV (Recreational Vehicle) Parks and Recreational Camps,10-19 employees,647
7212,RV (Recreational Vehicle) Parks and Recreational Camps,20-99 employees,412
7212,RV (Recreational Vehicle) Parks and Recreational Camps,100-499 employees,105
7212,RV (Recreational Vehicle) Parks and Recreational Camps,500+ employees,74
72121,RV (Recreational Vehicle) Parks and Recreational Camps,1-4 employees,4742
72121,RV (Recreational Vehicle) Parks and Recreational Camps,4-9 employees,1195
72121,RV (Recreational Vehicle) Parks and Recreational Camps,10-19 employees,647
72121,RV (Recreational Vehicle) Parks and Recreational Camps,20-99 employees,412
72121,RV (Recreational Vehicle) Parks and Recreational Camps,100-499 employees,105
72121,RV (Recreational Vehicle) Parks and Recreational Camps,500+ employees,74
721211,RV (Recreational Vehicle) Parks and Campgrounds,1-4 employees,3255
721211,RV (Recreational Vehicle) Parks and Campgrounds,4-9 employees,701
721211,RV (Recreational Vehicle) Parks and Campgrounds,10-19 employees,373
721211,RV (Recreational Vehicle) Parks and Campgrounds,20-99 employees,139
721211,RV (Recreational Vehicle) Parks and Campgrounds,100-499 employees,32
721211,RV (Recreational Vehicle) Parks and Campgrounds,500+ employees,11
721214,Recreational and Vacation Camps (except Campgrounds),1-4 employees,1487
721214,Recreational and Vacation Camps (except Campgrounds),4-9 employees,496
721214,Recreational and Vacation Camps (except Campgrounds),10-19 employees,277
721214,Recreational and Vacation Camps (except Campgrounds),20-99 employees,274
721214,Recreational and Vacation Camps (except Campgrounds),100-499 employees,74
721214,Recreational and Vacation Camps (except Campgrounds),500+ employees,65
7213,"Rooming and Boarding Houses, Dormitories, and Workers' Camps",1-4 employees,1100
7213,"Rooming and Boarding Houses, Dormitories, and Workers' Camps",4-9 employees,216
7213,"Rooming and Boarding Houses, Dormitories, and Workers' Camps",10-19 employees,111
7213,"Rooming and Boarding Houses, Dormitories, and Workers' Camps",20-99 employees,45
7213,"Rooming and Boarding Houses, Dormitories, and Workers' Camps",100-499 employees,17
7213,"Rooming and Boarding Houses, Dormitories, and Workers' Camps",500+ employees,9
72131,"Rooming and Boarding Houses, Dormitories, and Workers' Camps",1-4 employees,1100
72131,"Rooming and Boarding Houses, Dormitories, and Workers' Camps",4-9 employees,216
72131,"Rooming and Boarding Houses, Dormitories, and Workers' Camps",10-19 employees,111
72131,"Rooming and Boarding Houses, Dormitories, and Workers' Camps",20-99 employees,45
72131,"Rooming and Boarding Houses, Dormitories, and Workers' Camps",100-499 employees,17
72131,"Rooming and Boarding Houses, Dormitories, and Workers' Camps",500+ employees,9
721310,"Rooming and Boarding Houses, Dormitories, and Workers' Camps",1-4 employees,1100
721310,"Rooming and Boarding Houses, Dormitories, and Workers' Camps",4-9 employees,216
721310,"Rooming and Boarding Houses, Dormitories, and Workers' Camps",10-19 employees,111
721310,"Rooming and Boarding Houses, Dormitories, and Workers' Camps",20-99 employees,45
